pid,query_number,id,cost_SC,cost_input,cost_SC_experiments,cost_input_experiments,cost_SC_difference,cost_input_difference,time_SC,time_input,time_SC_experiment,time_input_experiment,time _SC_difference,time_input_difference,SC_better_time_sc_data,SC_better_time_experiment_data,performance_difference
1821,208,1821-208,1869.45,1890.03,1868.24,1888.53,1.21,1.5,21.6625,24.665,12.588,14.4646,9.0745,10.2004,1,1,not significant
1821,209,1821-209,2041,2067.61,2041,2066.93,0,0.68,18.9745,23.6955,12.5116,12.0174,6.4629,11.6781,1,0,not significant
1821,228,1821-228,1880.81,1901.38,1879.42,1899.71,1.39,1.67,22.5825,24.239,13.7704,13.1912,8.8121,11.0478,1,0,not significant
1050,5,1050-5,2416,2449.33,2416,2449.33,0,0,60.485,59.973,41.424,42.0276,19.061,17.9454,0,1,not significant
1050,13,1050-13,2416,2449.33,2416,2449.33,0,0,63.4765,60.1995,42.7434,44.1882,20.7331,16.0113,0,1,not significant
1050,16,1050-16,2416,10970.82,2416,10970.82,0,0,62.831,139.502,42.6208,108.3856,20.2102,31.1164,1,1,significant
1050,25,1050-25,2416,10970.82,2416,10970.82,0,0,61.9795,131.146,43.7474,108.1428,18.2321,23.0032,1,1,significant
1050,27,1050-27,2416,2691,2416,2691,0,0,60.4085,65.552,43.9146,44.9676,16.4939,20.5844,1,1,not significant
1050,41,1050-41,2416,10970.82,2416,10970.82,0,0,59.855,127.763,42.7366,107.4268,17.1184,20.3362,1,1,significant
1050,54,1050-54,2416,2449.33,2416,2449.33,0,0,60.3,60.2665,43.4056,40.8324,16.8944,19.4341,0,0,not significant
1050,62,1050-62,2416,10970.82,2416,10970.82,0,0,61.2125,138.402,45.0446,142.6202,16.1679,-4.2182,1,1,significant
1050,67,1050-67,2416,2449.33,2416,2449.33,0,0,67.0605,59.603,42.2854,43.3688,24.7751,16.2342,0,1,not significant
1050,83,1050-83,2416,2449.33,2416,2449.33,0,0,60.754,61.586,41.0112,41.1562,19.7428,20.4298,1,1,not significant
1050,149,1050-149,2416,11020.82,2416,11020.82,0,0,61.0545,134.455,43.3634,111.0852,17.6911,23.3698,1,1,significant
1050,151,1050-151,2416,13762.49,2416,13762.49,0,0,60.2715,128.2565,43.8194,133.3126,16.4521,-5.0561,1,1,significant
1050,152,1050-152,2416,2465.99,2416,2465.99,0,0,64.604,59.2535,45.3944,51.4078,19.2096,7.8457,0,1,significant
1050,153,1050-153,2416,2465.99,2416,2465.99,0,0,60.6975,60.8095,42.4282,51.5108,18.2693,9.2987,1,1,significant
1050,154,1050-154,2449.33,4581.77,2449.33,4590.33,0,-8.56,60.185,79.346,43.6292,93.6834,16.5558,-14.3374,1,1,significant
534,1,534-1,11845.82,13385.21,6722.28,8261.66,5123.54,5123.55,116.235,224.42,100.7674,231.9696,15.4676,-7.5496,1,1,significant
534,3,534-3,3005.39,151427.91,3005.39,286744.31,0,-135316.4,171.116,4925.264,179.7844,4750.59,-8.6684,174.674,1,1,significant
534,4,534-4,3005.39,151427.91,3005.39,283313.02,0,-131885.11,169.481,5074.751,175.7546,5113.8196,-6.2736,-39.0686,1,1,significant
534,10,534-10,3005.39,151427.91,3005.39,283313.02,0,-131885.11,175.834,4972.149,177.2406,5108.964,-1.4066,-136.815,1,1,significant
534,11,534-11,3005.39,151427.91,3005.39,286744.31,0,-135316.4,177.224,4855.963,176.7438,4765.2844,0.4802,90.6786,1,1,significant
534,65,534-65,3005.39,151427.91,3005.39,283313.02,0,-131885.11,166.083,5165.433,176.2126,5133.0018,-10.1296,32.4312,1,1,significant
534,66,534-66,3005.39,151427.91,3005.39,283313.02,0,-131885.11,162.019,5081.965,175.6286,5131.4598,-13.6096,-49.4948,1,1,significant
534,67,534-67,3005.39,151427.91,3005.39,283313.02,0,-131885.11,166.562,5060.074,183.1976,5131.0542,-16.6356,-70.9802,1,1,significant
534,71,534-71,11845.82,21400.64,6722.28,16277.1,5123.54,5123.54,119.659,147.99,99.6522,144.8612,20.0068,3.1288,1,1,significant
534,81,534-81,3005.39,151427.91,3005.39,283313.02,0,-131885.11,165.862,5145.584,177.1182,5131.6008,-11.2562,13.9832,1,1,significant
534,82,534-82,3005.39,151427.91,3005.39,283313.02,0,-131885.11,159.749,4982.83,185.2426,5115.4482,-25.4936,-132.6182,1,1,significant
534,85,534-85,3005.39,151427.91,3005.39,286744.31,0,-135316.4,184.737,5085.25,176.1802,4734.868,8.5568,350.382,1,1,significant
534,90,534-90,3005.39,344123.43,3005.39,285477.02,0,58646.41,163.831,4286.635,178.8546,8547.7276,-15.0236,-4261.0926,1,1,significant
534,93,534-93,3005.39,151427.91,3005.39,283313.02,0,-131885.11,174.305,4869.365,174.0498,5098.241,0.2552,-228.876,1,1,significant
534,95,534-95,3005.39,151427.91,3005.39,283313.02,0,-131885.11,184.184,5131.665,174.5426,5129.3786,9.6414,2.2864,1,1,significant
534,100,534-100,3005.39,151427.91,3005.39,283313.02,0,-131885.11,160,5005.336,176.5398,5140.0554,-16.5398,-134.7194,1,1,significant
534,105,534-105,3005.39,151427.91,3005.39,283313.02,0,-131885.11,175.348,4649.068,175.4622,5136.4498,-0.1142,-487.3818,1,1,significant
534,112,534-112,3005.39,810144.77,3005.39,748113.53,0,62031.24,159.541,4463.415,176.9374,4885.8486,-17.3964,-422.4336,1,1,significant
534,113,534-113,3005.39,151427.91,3005.39,286744.31,0,-135316.4,170.123,5048.823,175.8072,4739.791,-5.6842,309.032,1,1,significant
534,115,534-115,3005.39,151427.91,3005.39,283313.02,0,-131885.11,162.832,4978.859,177.9626,5185.5096,-15.1306,-206.6506,1,1,significant
534,116,534-116,3005.39,151427.91,3005.39,283313.02,0,-131885.11,158.888,5054.783,176.502,5211.293,-17.614,-156.51,1,1,significant
